GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server,com.second.hand.trading.server.service.impl,MerchantApplicationServiceImpl,167,3,26,0,42,1,20,1,7,1
server,com.second.hand.trading.server.service.impl,MessageServiceImpl,302,3,32,0,58,1,21,1,5,1
server,com.second.hand.trading.server.service.impl,AddressServiceImpl,171,3,26,0,32,1,18,1,5,1
server,com.second.hand.trading.server.service.impl,MembershipServiceImpl,517,24,70,0,112,5,47,2,12,2
server,com.second.hand.trading.server.service.impl,UserServiceImpl,137,23,7,1,27,4,12,4,8,4
server,com.second.hand.trading.server.service.impl,OrderAddressServiceImpl,28,3,4,0,4,1,5,1,3,1
server,com.second.hand.trading.server.service.impl,MerchantServiceImpl,232,3,32,0,53,1,21,1,5,1
server,com.second.hand.trading.server.service.impl,OrderServiceImpl,740,24,60,2,157,5,44,3,14,2
server,com.second.hand.trading.server.service.impl,AdminServiceImpl,36,3,2,0,5,1,4,1,3,1
server,com.second.hand.trading.server.service.impl,FavoriteServiceImpl,100,3,12,0,18,1,10,1,4,1
server,com.second.hand.trading.server.service.impl,IdleItemServiceImpl,616,3,54,0,108,1,39,1,12,1
server,com.second.hand.trading.server.service.impl,RatingServiceImpl,247,3,42,0,58,1,29,1,8,1
server,com.second.hand.trading.server.service.impl,ChatMessageServiceImpl,387,3,44,0,72,1,25,1,3,1
server,com.second.hand.trading.server.service.impl,FileServiceImpl,47,3,10,0,12,1,6,1,1,1
server,com.second.hand.trading.server,LogCostInterceptor,0,42,0,0,0,7,0,4,0,4
server,com.second.hand.trading.server,ServerApplication,6,3,0,0,3,1,1,1,1,1
server,com.second.hand.trading.server,WebMvcConfig,0,52,0,0,0,10,0,3,0,3
server,com.second.hand.trading.server.dto,PageVo,52,0,0,0,19,0,7,0,7,0
server,com.second.hand.trading.server.dto,ResultVo,57,33,0,0,19,13,5,7,5,7
server,com.second.hand.trading.server.utils,OrderTask,78,0,2,0,25,0,10,0,9,0
server,com.second.hand.trading.server.utils,OrderTaskHandler,73,0,8,0,17,0,9,0,5,0
server,com.second.hand.trading.server.utils,IdFactoryUtil,68,0,4,0,11,0,6,0,4,0
server,com.second.hand.trading.server.utils,RedisUtil,147,3,6,0,30,1,16,1,13,1
server,com.second.hand.trading.server.Exception,ParamException,9,0,0,0,4,0,2,0,2,0
server,com.second.hand.trading.server.controller,UserController,69,110,12,10,19,21,14,4,4,3
server,com.second.hand.trading.server.controller,OrderController,99,3,14,0,22,1,12,1,5,1
server,com.second.hand.trading.server.controller,MessageController,49,3,4,0,11,1,7,1,5,1
server,com.second.hand.trading.server.controller,IdleItemController,296,3,42,0,64,1,28,1,7,1
server,com.second.hand.trading.server.controller,MembershipController,176,3,20,0,31,1,16,1,6,1
server,com.second.hand.trading.server.controller,AdminController,517,3,106,0,112,1,66,1,13,1
server,com.second.hand.trading.server.controller,RatingController,126,3,16,0,27,1,13,1,5,1
server,com.second.hand.trading.server.controller,StatisticsController,124,3,8,0,30,1,8,1,4,1
server,com.second.hand.trading.server.controller,ChatMessageController,40,3,2,0,9,1,4,1,3,1
server,com.second.hand.trading.server.controller,MerchantController,159,3,38,0,29,1,24,1,5,1
server,com.second.hand.trading.server.controller,MerchantApplicationController,50,3,4,0,11,1,7,1,5,1
server,com.second.hand.trading.server.controller,OrderAddressController,24,3,2,0,5,1,4,1,3,1
server,com.second.hand.trading.server.controller,FavoriteController,46,3,4,0,10,1,6,1,4,1
server,com.second.hand.trading.server.controller,FileController,98,3,6,0,20,1,5,1,2,1
server,com.second.hand.trading.server.controller,AddressController,61,3,8,0,15,1,8,1,4,1
server,com.second.hand.trading.server.controller,AliPayController,40,3,0,0,10,1,1,1,1,1
server,com.second.hand.trading.server.config,RedisConfig,0,51,0,0,0,15,0,2,0,2
server,com.second.hand.trading.server.config,CorsConfig,0,42,0,0,0,7,0,2,0,2
server,com.second.hand.trading.server.config,AliPayConfig,63,38,0,0,13,12,9,2,9,2
server,com.second.hand.trading.server.Handler,GlobalExceptionHandler,82,3,4,0,16,1,8,1,6,1
server,com.second.hand.trading.server.enums,ErrorMsg,279,0,0,0,29,0,3,0,3,0
server,com.second.hand.trading.server.service,CacheService,186,3,20,0,37,1,15,1,5,1
server,com.second.hand.trading.server.service,CacheService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
server,com.second.hand.trading.server.service,CacheService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
server,com.second.hand.trading.server.entity,FavoriteModel,233,0,38,0,45,0,33,0,14,0
server,com.second.hand.trading.server.entity,OrderModel,520,0,94,0,90,0,77,0,30,0
server,com.second.hand.trading.server.entity,MerchantApplicationModel,115,0,0,0,49,0,33,0,33,0
server,com.second.hand.trading.server.entity,OrderAddressModel,266,0,46,0,48,0,37,0,14,0
server,com.second.hand.trading.server.entity,IdleItemPinModel,45,0,0,0,19,0,13,0,13,0
server,com.second.hand.trading.server.entity,IdleItemModel,487,0,86,0,87,0,73,0,30,0
server,com.second.hand.trading.server.entity,MembershipOrderModel,73,0,0,0,31,0,21,0,21,0
server,com.second.hand.trading.server.entity,ChatMessageModel,73,0,0,0,31,0,21,0,21,0
server,com.second.hand.trading.server.entity,RatingModel,73,0,0,0,31,0,21,0,21,0
server,com.second.hand.trading.server.entity,AddressModel,426,0,78,0,72,0,61,0,22,0
server,com.second.hand.trading.server.entity,UserModel,109,225,44,10,15,51,25,26,2,22
server,com.second.hand.trading.server.entity,MessageModel,374,0,62,0,72,0,57,0,26,0
server,com.second.hand.trading.server.entity,AdminModel,226,0,38,0,42,0,31,0,12,0
